bits,source,prefix,query,run,time_s
2,view,jos,full,0,0.03109958302229643
2,view,jos,full,1,0.03296141600003466
2,view,jos,full,2,0.0322102089994587
2,view,jos,full,3,0.03118195798015222
2,view,jos,full,4,0.031359917018562555
2,view,jos,full,5,0.03110829199431464
2,view,jos,full,6,0.031019375019241124
2,view,jos,full,7,0.03213304199744016
2,view,jos,full,8,0.031164249987341464
2,view,jos,full,9,0.0327560409787111
2,view,jos,fp_exact,0,0.02371062501333654
2,view,jos,fp_exact,1,0.025313000020105392
2,view,jos,fp_exact,2,0.02620066696545109
2,view,jos,fp_exact,3,0.025553375016897917
2,view,jos,fp_exact,4,0.024308540974743664
2,view,jos,fp_exact,5,0.02892412501387298
2,view,jos,fp_exact,6,0.026852459006477147
2,view,jos,fp_exact,7,0.02712258300743997
2,view,jos,fp_exact,8,0.02687216701451689
2,view,jos,fp_exact,9,0.02709395799320191
2,view,2012,full,0,0.03327504202025011
2,view,2012,full,1,0.032129667000845075
2,view,2012,full,2,0.03217912500258535
2,view,2012,full,3,0.03317291697021574
2,view,2012,full,4,0.03312608296982944
2,view,2012,full,5,0.03223612502915785
2,view,2012,full,6,0.031792958034202456
2,view,2012,full,7,0.032424042001366615
2,view,2012,full,8,0.034736957983113825
2,view,2012,full,9,0.03358833404490724
2,view,2012,fp_exact,0,0.026864125044085085
2,view,2012,fp_exact,1,0.027570792008191347
2,view,2012,fp_exact,2,0.029590041958726943
2,view,2012,fp_exact,3,0.0273585410322994
2,view,2012,fp_exact,4,0.030126708035822958
2,view,2012,fp_exact,5,0.025233957974705845
2,view,2012,fp_exact,6,0.027408291003666818
2,view,2012,fp_exact,7,0.023257458000443876
2,view,2012,fp_exact,8,0.027790541003923863
2,view,2012,fp_exact,9,0.03000862500630319
2,view,the,full,0,0.03127120796125382
2,view,the,full,1,0.03147133399033919
2,view,the,full,2,0.031746125023346394
2,view,the,full,3,0.031452666968107224
2,view,the,full,4,0.031084457994438708
2,view,the,full,5,0.03117970802122727
2,view,the,full,6,0.032493833045009524
2,view,the,full,7,0.03152924997266382
2,view,the,full,8,0.03163937502540648
2,view,the,full,9,0.03201795800123364
2,view,the,fp_exact,0,0.023285375034902245
2,view,the,fp_exact,1,0.02288633305579424
2,view,the,fp_exact,2,0.023929250019136816
2,view,the,fp_exact,3,0.024871582980267704
2,view,the,fp_exact,4,0.02629941696068272
2,view,the,fp_exact,5,0.02414312498876825
2,view,the,fp_exact,6,0.02567058301065117
2,view,the,fp_exact,7,0.0216760000330396
2,view,the,fp_exact,8,0.02341195900226012
2,view,the,fp_exact,9,0.026318958960473537
2,view,a,full,0,0.034153624961618334
2,view,a,full,1,0.03244095796253532
2,view,a,full,2,0.0342912920168601
2,view,a,full,3,0.03388254198944196
2,view,a,full,4,0.03305195801658556
2,view,a,full,5,0.031736208009533584
2,view,a,full,6,0.032539915991947055
2,view,a,full,7,0.03236654098145664
2,view,a,full,8,0.03180029202485457
2,view,a,full,9,0.031881208007689565
2,view,a,fp_exact,0,0.027679708029609174
2,view,a,fp_exact,1,0.028090208012145013
2,view,a,fp_exact,2,0.02729920798446983
2,view,a,fp_exact,3,0.027231500018388033
2,view,a,fp_exact,4,0.023613457975443453
2,view,a,fp_exact,5,0.02769312501186505
2,view,a,fp_exact,6,0.02652175002731383
2,view,a,fp_exact,7,0.026094333035871387
