bits,source,prefix,query,run,time_s
4,view,jos,full,0,0.03150016599101946
4,view,jos,full,1,0.03402920800726861
4,view,jos,full,2,0.031161250022705644
4,view,jos,full,3,0.03340170800220221
4,view,jos,full,4,0.03138112497981638
4,view,jos,full,5,0.031387707975227386
4,view,jos,full,6,0.032324375002644956
4,view,jos,full,7,0.03149387496523559
4,view,jos,full,8,0.031201499979943037
4,view,jos,full,9,0.03136058402014896
4,view,jos,fp_exact,0,0.022859750024508685
4,view,jos,fp_exact,1,0.027270750026218593
4,view,jos,fp_exact,2,0.022686166979838163
4,view,jos,fp_exact,3,0.023948458023369312
4,view,jos,fp_exact,4,0.02526166703319177
4,view,jos,fp_exact,5,0.026708666002377868
4,view,jos,fp_exact,6,0.028242584026884288
4,view,jos,fp_exact,7,0.024010583001654595
4,view,jos,fp_exact,8,0.024623584002256393
4,view,jos,fp_exact,9,0.025771207991056144
4,view,2012,full,0,0.03197537496453151
4,view,2012,full,1,0.03199116699397564
4,view,2012,full,2,0.03172374999849126
4,view,2012,full,3,0.03154845902463421
4,view,2012,full,4,0.03158524999162182
4,view,2012,full,5,0.03149924997705966
4,view,2012,full,6,0.03301716601708904
4,view,2012,full,7,0.03156033298000693
4,view,2012,full,8,0.03197299997555092
4,view,2012,full,9,0.03169604198774323
4,view,2012,fp_exact,0,0.02006337500642985
4,view,2012,fp_exact,1,0.020775332988705486
4,view,2012,fp_exact,2,0.0245999590260908
4,view,2012,fp_exact,3,0.02508504199795425
4,view,2012,fp_exact,4,0.024878791999071836
4,view,2012,fp_exact,5,0.01933870796347037
4,view,2012,fp_exact,6,0.02212812501238659
4,view,2012,fp_exact,7,0.023121875012293458
4,view,2012,fp_exact,8,0.023178500006906688
4,view,2012,fp_exact,9,0.01858874998288229
4,view,the,full,0,0.030902166035957634
4,view,the,full,1,0.032786833005957305
4,view,the,full,2,0.03142095805378631
4,view,the,full,3,0.03166445798706263
4,view,the,full,4,0.0320579590043053
4,view,the,full,5,0.031259541981853545
4,view,the,full,6,0.03272070799721405
4,view,the,full,7,0.03133404202526435
4,view,the,full,8,0.031221874989569187
4,view,the,full,9,0.031157417048234493
4,view,the,fp_exact,0,0.021895374986343086
4,view,the,fp_exact,1,0.025637958955485374
4,view,the,fp_exact,2,0.024595374998170882
4,view,the,fp_exact,3,0.02095974999247119
4,view,the,fp_exact,4,0.02213712502270937
