bits,source,prefix,query,run,time_s
16,view,jos,full,0,0.033107792027294636
16,view,jos,full,1,0.03135862498311326
16,view,jos,full,2,0.03189024998573586
16,view,jos,full,3,0.03307887498522177
16,view,jos,full,4,0.033194208052009344
16,view,jos,full,5,0.032344041974283755
16,view,jos,full,6,0.03160891600418836
16,view,jos,full,7,0.03251874999841675
16,view,jos,full,8,0.03336916700936854
16,view,jos,full,9,0.03185670904349536
16,view,jos,fp_exact,0,0.02457491698442027
16,view,jos,fp_exact,1,0.025488333019893616
16,view,jos,fp_exact,2,0.023372000025119632
16,view,jos,fp_exact,3,0.025729249988216907
16,view,jos,fp_exact,4,0.023148458974901587
16,view,jos,fp_exact,5,0.023649165988899767
16,view,jos,fp_exact,6,0.02463204099331051
16,view,jos,fp_exact,7,0.02250041696242988
16,view,jos,fp_exact,8,0.024157208972610533
16,view,jos,fp_exact,9,0.01991249999264255
16,view,2012,full,0,0.03254424995975569
16,view,2012,full,1,0.03188145795138553
16,view,2012,full,2,0.0439347909996286
16,view,2012,full,3,0.03921483305748552
16,view,2012,full,4,0.032692042004782706
16,view,2012,full,5,0.03343304101144895
16,view,2012,full,6,0.033119625004474074
16,view,2012,full,7,0.033537959039676934
16,view,2012,full,8,0.03366770799038932
16,view,2012,full,9,0.03499870898667723
16,view,2012,fp_exact,0,0.023009707976598293
16,view,2012,fp_exact,1,0.023741249984595925
16,view,2012,fp_exact,2,0.02385433402378112
16,view,2012,fp_exact,3,0.022152916993945837
16,view,2012,fp_exact,4,0.022658166999462992
16,view,2012,fp_exact,5,0.021249875018838793
16,view,2012,fp_exact,6,0.02343766699777916
16,view,2012,fp_exact,7,0.02139537496259436
16,view,2012,fp_exact,8,0.02003916702233255
16,view,2012,fp_exact,9,0.020655709027778357
16,view,the,full,0,0.03190916596213356
16,view,the,full,1,0.031602750008460134
16,view,the,full,2,0.03138170897727832
16,view,the,full,3,0.03118808299768716
16,view,the,full,4,0.031671542034018785
16,view,the,full,5,0.031896915985271335
16,view,the,full,6,0.03158112504752353
16,view,the,full,7,0.031042458023875952
16,view,the,full,8,0.030910000030416995
16,view,the,full,9,0.031306958000641316
16,view,the,fp_exact,0,0.02456504199653864
16,view,the,fp_exact,1,0.02443495800253004
16,view,the,fp_exact,2,0.02970125002320856
16,view,the,fp_exact,3,0.023313249985221773
