bits,source,prefix,query,run,time_s
8,view,jos,full,0,0.03217604197561741
8,view,jos,full,1,0.031091208045836538
8,view,jos,full,2,0.03116087499074638
8,view,jos,full,3,0.03343325003515929
8,view,jos,full,4,0.031354166043456644
8,view,jos,full,5,0.0312244170345366
8,view,jos,full,6,0.03527787502389401
8,view,jos,full,7,0.031140832987148315
8,view,jos,full,8,0.031318416993599385
8,view,jos,full,9,0.031032333965413272
8,view,jos,fp_exact,0,0.02281487500295043
8,view,jos,fp_exact,1,0.02220229199156165
8,view,jos,fp_exact,2,0.022028915991540998
8,view,jos,fp_exact,3,0.022634583001490682
8,view,jos,fp_exact,4,0.024950957973487675
8,view,jos,fp_exact,5,0.026347167033236474
8,view,jos,fp_exact,6,0.01990933303022757
8,view,jos,fp_exact,7,0.023097708995919675
8,view,jos,fp_exact,8,0.019645749998744577
8,view,jos,fp_exact,9,0.02062770799966529
8,view,2012,full,0,0.03257854195544496
8,view,2012,full,1,0.03218979202210903
8,view,2012,full,2,0.03305358299985528
8,view,2012,full,3,0.031799792021047324
8,view,2012,full,4,0.03165999997872859
8,view,2012,full,5,0.03334304102463648
8,view,2012,full,6,0.03272433299571276
8,view,2012,full,7,0.03337650001049042
8,view,2012,full,8,0.031883958959952
8,view,2012,full,9,0.03238829202018678
8,view,2012,fp_exact,0,0.021578875021077693
8,view,2012,fp_exact,1,0.019834041013382375
8,view,2012,fp_exact,2,0.020537000033073127
8,view,2012,fp_exact,3,0.020518750010523945
8,view,2012,fp_exact,4,0.023912958975415677
8,view,2012,fp_exact,5,0.027175833005458117
8,view,2012,fp_exact,6,0.019633250019978732
8,view,2012,fp_exact,7,0.01988383400021121
8,view,2012,fp_exact,8,0.019236500025726855
8,view,2012,fp_exact,9,0.017706124985124916
8,view,the,full,0,0.03243570798076689
8,view,the,full,1,0.03348899999400601
8,view,the,full,2,0.03220295801293105
8,view,the,full,3,0.033529457985423505
8,view,the,full,4,0.03250904200831428
8,view,the,full,5,0.034099374955985695
8,view,the,full,6,0.03219779196660966
8,view,the,full,7,0.03272529097739607
8,view,the,full,8,0.03216804197290912
8,view,the,full,9,0.032311499991919845
8,view,the,fp_exact,0,0.02616191701963544
8,view,the,fp_exact,1,0.019085375010035932
8,view,the,fp_exact,2,0.025773707951884717
8,view,the,fp_exact,3,0.028445291973184794
8,view,the,fp_exact,4,0.02673308301018551
8,view,the,fp_exact,5,0.02310641697840765
8,view,the,fp_exact,6,0.025426250009331852
8,view,the,fp_exact,7,0.021996625000610948
8,view,the,fp_exact,8,0.022550583991687745
8,view,the,fp_exact,9,0.02012845902936533
8,view,a,full,0,0.031114915967918932
8,view,a,full,1,0.031328083015978336
8,view,a,full,2,0.0313207499566488
8,view,a,full,3,0.03291404101764783
8,view,a,full,4,0.03176966600585729
8,view,a,full,5,0.03169312502723187
8,view,a,full,6,0.03226804197765887
8,view,a,full,7,0.03145008301362395
8,view,a,full,8,0.03135670901974663
8,view,a,full,9,0.031441416998859495
8,view,a,fp_exact,0,0.023257541994098574
8,view,a,fp_exact,1,0.02605612500337884
8,view,a,fp_exact,2,0.023462917015422136
8,view,a,fp_exact,3,0.02228795801056549
8,view,a,fp_exact,4,0.024680999980773777
8,view,a,fp_exact,5,0.02827820897800848
8,view,a,fp_exact,6,0.025330709002446383
8,view,a,fp_exact,7,0.029148208966944367
8,view,a,fp_exact,8,0.02578483399702236
8,view,a,fp_exact,9,0.02476691600168124
8,view,(,full,0,0.03624983300687745
8,view,(,full,1,0.038435208960436285
8,view,(,full,2,0.035568791965488344
8,view,(,full,3,0.03476391697768122
8,view,(,full,4,0.0336213749833405
8,view,(,full,5,0.03300079196924344
8,view,(,full,6,0.03317012498155236
8,view,(,full,7,0.03303333302028477
8,view,(,full,8,0.032905332976952195
8,view,(,full,9,0.033089625008869916
8,view,(,fp_exact,0,0.030433125037234277
8,view,(,fp_exact,1,0.028324541985057294
8,view,(,fp_exact,2,0.02980791695881635
8,view,(,fp_exact,3,0.029710792005062103
8,view,(,fp_exact,4,0.028342165984213352
8,view,(,fp_exact,5,0.030862584011629224
8,view,(,fp_exact,6,0.03333033400122076
8,view,(,fp_exact,7,0.03273779200389981
8,view,(,fp_exact,8,0.030239958025049418
8,view,(,fp_exact,9,0.03261950000887737
8,view,#,full,0,0.03302529198117554
8,view,#,full,1,0.03283258300507441
8,view,#,full,2,0.032725166995078325
8,view,#,full,3,0.03290166601072997
8,view,#,full,4,0.03282983397366479
8,view,#,full,5,0.03287475003162399
8,view,#,full,6,0.03390424995450303
8,view,#,full,7,0.03673745901323855
8,view,#,full,8,0.035232125024776906
8,view,#,full,9,0.03419762500561774
8,view,#,fp_exact,0,0.02439941599732265
8,view,#,fp_exact,1,0.020974332990590483
8,view,#,fp_exact,2,0.025378458958584815
8,view,#,fp_exact,3,0.03003916598390788
8,view,#,fp_exact,4,0.019179042021278292
8,view,#,fp_exact,5,0.023440417018719018
8,view,#,fp_exact,6,0.020486166002228856
8,view,#,fp_exact,7,0.019031082978472114
8,view,#,fp_exact,8,0.02469787502195686
8,view,#,fp_exact,9,0.021697166026569903
8,table,jos,full,0,0.004052250005770475
8,table,jos,full,1,0.004083083011209965
8,table,jos,full,2,0.004066666995640844
8,table,jos,full,3,0.004143500002101064
8,table,jos,full,4,0.004099584009964019
8,table,jos,full,5,0.004100874997675419
8,table,jos,full,6,0.004160957993008196
8,table,jos,full,7,0.004071208997629583
8,table,jos,full,8,0.004082207975443453
8,table,jos,full,9,0.004116665979381651
8,table,jos,fp_exact,0,0.0036007080343551934
8,table,jos,fp_exact,1,0.003580500022508204
8,table,jos,fp_exact,2,0.003586209029890597
8,table,jos,fp_exact,3,0.0035817919997498393
8,table,jos,fp_exact,4,0.0035831249551847577
8,table,jos,fp_exact,5,0.003600125026423484
