bits,source,prefix,query,sketch_bytes,time_full_ms,time_fp_ms,speedup_median,speedup_iqr,speedup_p25,speedup_p75
1,table,#,#%,0.125,3.03110410459335,3.1791875371708502,0.9534209822962255,0.01804655015557155,0.9550235379703309,0.9730700881259025
1,table,(,(%,0.125,4.1707080090418005,4.43120847921815,0.9412123190777265,0.026000834337754575,0.9280513597030295,0.9540521940407841
1,table,2012,2012%,0.125,4.0482504991814,4.209021106362299,0.9618033259710005,0.01566790947910035,0.9576992699267333,0.9733671794058336
1,table,a,a%,0.125,4.5040000695735,4.195791552774599,1.0734565845138537,0.017970876606901554,1.0589567460943279,1.0769276227012294
1,table,interest,interest%,0.125,4.245479009114151,4.4279375579207505,0.958793784596123,0.015864517970045178,0.9524671937561489,0.968331711726194
1,table,jos,jos%,0.125,4.1090624872595,4.29147889371955,0.9574933464715368,0.010870400245214129,0.9521886120601569,0.963059012305371
1,table,the,the%,0.125,3.72491648886345,3.9304374950005996,0.947710399567843,0.014806498173348781,0.9396823151679811,0.9544888133413298
1,view,#,#%,0.125,11.25120848882935,10.846874909475401,1.0372765043137668,0.02673521883198471,1.0208784313399284,1.047613650171913
1,view,(,(%,0.125,11.157874949276401,10.88058296591035,1.0254850300057292,0.04988366399156208,1.0091620945233095,1.0590457585148716
1,view,2012,2012%,0.125,11.08395808842025,10.55450050625945,1.0501641533719952,0.023758003940376193,1.0383913027556906,1.0621493066960668
1,view,a,a%,0.125,15.0514380075037,11.0290000448003,1.3647146564841848,0.02087423075442696,1.354762640587326,1.375636871341753
1,view,interest,interest%,0.125,13.7236876180395,12.0454796124249,1.1393226388332043,0.010989047910228145,1.1320361938685464,1.1430252417787745
1,view,jos,jos%,0.125,13.421354116871901,11.762687587179201,1.1410108461522495,0.02596735757759383,1.1291758634975049,1.1551432210750987
1,view,the,the%,0.125,12.27956253569565,10.536832967773,1.1653940584664106,0.018357707128253464,1.1566187309738165,1.17497643810207
2,table,#,#%,0.25,3.03558295127,3.06841661222275,0.989299477514898,0.01391207169198272,0.9808215979774184,0.9947336696694011
2,table,(,(%,0.25,4.1732500540092,4.43262560293075,0.9414848958256126,0.027227700403165467,0.9355667999221896,0.9627945003253551
2,table,2012,2012%,0.25,4.07481240108605,4.21835400629785,0.9659721291770446,0.3210387809505134,0.6681699482696267,0.9892087292201401
2,table,a,a%,0.25,4.5307500986382,4.01547900401055,1.128321202554667,0.018749841995846506,1.1208223396229169,1.1395721816187634
2,table,interest,interest%,0.25,4.272583057172549,4.2767914710566,0.9990159880572782,0.01675129372312778,0.9863147663441172,1.003066060067245
2,table,jos,jos%,0.25,4.094082978554001,4.10927098710085,0.9963039652058661,0.010841424417359025,0.989726086655404,1.000567511072763
2,table,the,the%,0.25,3.7888119695708,3.8850205019116,0.9752360296957349,0.038458077462285245,0.9534735496123087,0.9919316270745939
2,view,#,#%,0.25,10.981749976053798,8.16970854066305,1.3442033973910317,0.030218873351991027,1.3422411255105433,1.3724599988625343
2,view,(,(%,0.25,11.062541394494401,10.92141692060975,1.0129218099547446,0.017313049672983416,1.0144545602435109,1.0317676099164943
2,view,2012,2012%,0.25,10.8398544834926,8.255000575445552,1.3131258301466,0.01843948962091524,1.2992410099552805,1.3176804995761957
2,view,a,a%,0.25,14.5597080700099,8.5013334173709,1.7126381657093739,0.03293516787745587,1.6999951878739328,1.7329303557513887
2,view,interest,interest%,0.25,13.500645989552101,9.21418808866285,1.465201910319512,0.038352230377524554,1.4444488603700045,1.482801090747529
2,view,jos,jos%,0.25,13.26885400339955,8.4430836141109,1.571564917493338,0.029887437379612303,1.5543654488381844,1.5842528862177967
2,view,the,the%,0.25,12.2274169698357,8.89795843977475,1.3741822972759619,0.019824633037406114,1.370649415336121,1.3904740483735272
4,table,#,#%,0.5,3.0353339388966,3.02585388999425,1.0031330160830627,0.024143874932716414,0.9904667780404163,1.0146106529731327
4,table,(,(%,0.5,4.17089601978655,4.367250017821751,0.9550394419293778,0.013815128121117182,0.9489166420762658,0.962731770197383
4,table,2012,2012%,0.5,3.9952499791979,4.07062459271395,0.981483280563144,0.00697806106537846,0.9784028825495394,0.9853809436149179
4,table,a,a%,0.5,4.50000015553085,3.9927710313349496,1.1270368674324691,0.0152283383572136,1.1186532254388868,1.1338815637961004
4,table,interest,interest%,0.5,4.24664607271545,3.84506245609365,1.1044413767545884,0.018599850347971403,1.0922106884067182,1.1108105387546896
4,table,jos,jos%,0.5,4.102875478565649,3.80264548584815,1.0789529273330447,0.021239947394770198,1.0642386141430007,1.085478561537771
4,table,the,the%,0.5,3.7192499730735498,3.7954790750517997,0.9799158155081622,0.006093538411979793,0.9787848676510018,0.9848784060629816
4,view,#,#%,0.5,10.91612456366415,5.6890415726229,1.9187985224427415,0.03029451642287695,1.9013992359435652,1.9316937523664421
4,view,(,(%,0.5,11.00579148624085,9.64727101381865,1.1408191467282582,0.020957884018578232,1.1301490997182408,1.151106983736819
4,view,2012,2012%,0.5,11.1771874362602,6.5770209766924,1.6994301030618326,0.07498259465682477,1.672131299728269,1.7471138943850937
4,view,a,a%,0.5,14.75160452537235,7.2227084310725,2.0423923610027113,0.07299253555831253,2.013346175456002,2.0863387110143146
4,view,interest,interest%,0.5,13.705146033316801,6.8704164586961,1.994805717485986,0.04152721480957444,1.9761870795090988,2.017714294318673
4,view,jos,jos%,0.5,13.5480203898623,6.93647947628045,1.9531551179802753,0.030622159414929184,1.9363293025282002,1.9669514619431294
